Video,Likes,Shares,Comments,Content Overview,Subtitles,Video Style,Number of Scenes,Average Scene Length
1,453900,6411,4310,Language Learning Game,1,1,7,4.05
2,315300,3310,3001,Language Learning Game,1,1,5,5.28
3,68700,629,828,Medical Simulator,1,2,6,1.6
4,63700,9261,654,Language Learning Game,1,1,5,5.18
5,22006,818,546,Sports Game,0,2,13,2.34
6,18800,429,279,Train Driving Simulator,1,1,33,2.4
7,9970,61,634,Ocean Exploration Simulator,1,2,20,0.93
8,9621,53,220,Sports Game,1,2,1,8.99
9,6733,131,129,Sports Game,0,2,11,2
10,4536,44,157,Cooking Game,1,2,8,1.63
11,4318,14,120,Language Learning Game,1,1,4,4.6
12,4052,68,32,Medical Simulator,-1,2,2,1.68
13,3588,20,76,Sports Game,0,1,1,12.37
14,3245,60,60,Welding Simulator,1,3,8,3.27
15,2702,38,12,Musical Game,1,3,20,4.5
16,2481,136,21,Art Design Software,-1,2,13,4.62
17,2340,376,255,Public Speaking Simulator,1,3,18,3.84
18,1607,3,50,Musical Game,0,1,31,1.13
19,1538,38,23,Language Learning Game,1,1,11,2.36
20,1470,3,8,Medical Simulator,1,2,1,8.97
21,1393,108,71,Firearm Training Simulator,0,2,3,19.63
22,1223,10,35,Language Learning Game,1,1,8,3.1
23,1154,16,45,Driving Simulator,0,1,3,18.84
24,1115,8,20,Art Design Software,1,2,3,15.44
25,1083,11,23,Musical Game,1,2,5,1.66
26,749,6,35,Science Game,1,1,9,2.72
27,708,9,21,Sports Game,1,2,6,9.01
28,550,0,9,Musical Game,-1,2,10,1.85
29,530,16,17,Driving Simulator,-1,2,5,5.9
30,350,32,15,Discussion,-1,2,6,5.01
31,286,8,12,Discussion,1,3,22,3.56
32,275,3,12,Discussion,1,2,8,2.69
33,244,2,22,Language Learning Game,0,1,31,2.06
34,236,14,6,Medical Simulator,1,3,2,8.88
35,224,23,44,Language Learning Game,1,1,6,3.07
36,222,8,5,Discussion,1,4,14,5.3
37,186,6,11,Sports Game,0,3,8,1.5
38,178,8,13,Cooking Game,-1,1,12,1.67
39,143,10,9,Discussion,-1,4,1,15
40,137,1,7,Car Crash Simulator,0,2,5,3.21
